SDSS_name,Redshift,u,g,r,i,z,M1450,alpha,region,ifspec
102859.78+434656.4,3.16,24.66&1.11,21.41&&0.05,20.41&&0.04,20.34&&0.05,20.32&&0.18,-25.29,-1.86&&0.13,overlap,0
102513.31+350325.0,3.18,24.78&1.08,22.08&&0.08,21.00&&0.04,21.06&&0.06,20.76&&0.17,-24.27,-0.68&&0.51,overlap,0
152126.66+191816.9,3.35,25.84&0.56,21.96&&0.06,21.09&&0.05,21.42&&0.08,21.19&&0.24,-24.21,-1.87&&0.27,overlap,0
102940.93+100410.9,3.37,25.57&0.60,20.27&&0.03,19.66&&0.03,19.53&&0.03,19.31&&0.07,-26.02,-1.35&&0.34,overlap,0
113957.54+011458.5,3.39,23.67&0.54,21.40&&0.05,20.81&&0.04,20.60&&0.05,20.42&&0.16,-25.11,-1.67&&0.59,overlap,0
094647.00+343603.1,3.39,23.69&0.58,21.12&&0.05,20.16&&0.02,20.04&&0.03,19.83&&0.09,-25.60,-0.69&&0.22,overlap,0
091107.44+262410.9,3.44,23.16&0.42,21.90&&0.07,20.88&&0.04,20.73&&0.05,20.63&&0.14,-24.88,-1.61&&0.43,overlap,0
105807.47+033059.6,3.45,25.00&0.85,20.71&&0.04,20.03&&0.03,19.98&&0.03,19.80&&0.07,-25.71,-1.29&&0.17,overlap,0
155113.02+133926.3,3.48,25.36&0.70,21.58&&0.05,20.68&&0.04,20.53&&0.04,20.39&&0.18,-25.10,-1.10&&0.27,overlap,0
110119.46+033011.1,3.49,25.64&0.69,22.26&&0.11,21.38&&0.07,21.37&&0.09,20.55&&0.16,-24.27,-1.80&&0.57,overlap,0
145431.86-005937.3,3.50,26.19&0.39,23.51&&0.26,21.13&&0.05,20.65&&0.05,20.10&&0.10,-24.98,-0.10&&0.48,overlap,0
162224.46+342615.9,3.50,24.61&1.12,21.52&&0.06,20.29&&0.04,20.02&&0.04,20.13&&0.14,-25.62,-1.36&&0.15,overlap,0
161432.97+402817.5,3.50,23.29&0.44,22.38&&0.08,21.01&&0.05,20.74&&0.05,20.44&&0.12,-24.84,-1.32&&0.58,overlap,0
161414.94+380317.0,3.50,23.33&0.63,21.00&&0.03,20.05&&0.03,19.93&&0.03,19.70&&0.07,-25.83,-1.26&&0.39,overlap,0
